device: cuda   amp: bf16
train pairs: 84500 from 169 split(s)   crop: 512
val scenes: 200
sampling 30000 of 84500 pairs per epoch (10.7 passes over the pool)
parameters: 0.46M
fine-tuning from weights/driftsense_p6_last.pt: weights only (fresh optimizer, fresh one-cycle at max_lr 8e-05, epoch counter from 0)
resumed from weights/driftsense_p6_last.pt (epoch 0, best 0.299px)
  e1 [600/1875] loss 0.346 focal 0.247 off 0.0991 | batch median err 1.3px | 76.3 img/s | lr 1.84e-05
  e1 [650/1875] loss 0.346 focal 0.248 off 0.0987 | batch median err 1.7px | 76.3 img/s | lr 1.90e-05
  e1 [700/1875] loss 0.344 focal 0.246 off 0.0982 | batch median err 1.3px | 76.3 img/s | lr 1.95e-05
  e1 [750/1875] loss 0.342 focal 0.245 off 0.0977 | batch median err 1.1px | 76.3 img/s | lr 2.01e-05
  e1 [800/1875] loss 0.342 focal 0.245 off 0.0973 | batch median err 1.1px | 76.3 img/s | lr 2.07e-05
  e1 [850/1875] loss 0.344 focal 0.247 off 0.0973 | batch median err 1.2px | 76.4 img/s | lr 2.13e-05
  e1 [900/1875] loss 0.343 focal 0.246 off 0.0972 | batch median err 1.8px | 76.4 img/s | lr 2.19e-05
  e1 [950/1875] loss 0.343 focal 0.246 off 0.0970 | batch median err 1.2px | 76.4 img/s | lr 2.26e-05
  e1 [1000/1875] loss 0.342 focal 0.245 off 0.0969 | batch median err 1.3px | 76.4 img/s | lr 2.32e-05
  e1 [1050/1875] loss 0.342 focal 0.246 off 0.0968 | batch median err 1.2px | 76.4 img/s | lr 2.38e-05
  e1 [1100/1875] loss 0.341 focal 0.245 off 0.0965 | batch median err 1.4px | 76.4 img/s | lr 2.45e-05
  e1 [1150/1875] loss 0.341 focal 0.245 off 0.0963 | batch median err 1.4px | 76.4 img/s | lr 2.51e-05
  e1 [1200/1875] loss 0.340 focal 0.244 off 0.0960 | batch median err 1.2px | 76.4 img/s | lr 2.57e-05
  e1 [1250/1875] loss 0.341 focal 0.244 off 0.0963 | batch median err 1.4px | 76.4 img/s | lr 2.64e-05
  e1 [1300/1875] loss 0.340 focal 0.244 off 0.0963 | batch median err 0.9px | 76.4 img/s | lr 2.71e-05
  e1 [1350/1875] loss 0.340 focal 0.243 off 0.0965 | batch median err 1.1px | 76.4 img/s | lr 2.77e-05
  e1 [1400/1875] loss 0.340 focal 0.244 off 0.0965 | batch median err 1.8px | 76.4 img/s | lr 2.84e-05
  e1 [1450/1875] loss 0.339 focal 0.243 off 0.0963 | batch median err 1.6px | 76.4 img/s | lr 2.91e-05
  e1 [1500/1875] loss 0.339 focal 0.242 off 0.0963 | batch median err 1.3px | 76.4 img/s | lr 2.97e-05
  e1 [1550/1875] loss 0.339 focal 0.243 off 0.0964 | batch median err 1.4px | 76.4 img/s | lr 3.04e-05
  e1 [1600/1875] loss 0.339 focal 0.243 off 0.0964 | batch median err 1.2px | 76.4 img/s | lr 3.11e-05
  e1 [1650/1875] loss 0.341 focal 0.244 off 0.0966 | batch median err 1.3px | 76.4 img/s | lr 3.18e-05
  e1 [1700/1875] loss 0.341 focal 0.244 off 0.0966 | batch median err 1.5px | 76.4 img/s | lr 3.25e-05
  e1 [1750/1875] loss 0.341 focal 0.244 off 0.0965 | batch median err 4.6px | 76.4 img/s | lr 3.32e-05
  e1 [1800/1875] loss 0.341 focal 0.244 off 0.0964 | batch median err 1.3px | 76.4 img/s | lr 3.39e-05
  e1 [1850/1875] loss 0.341 focal 0.245 off 0.0963 | batch median err 1.2px | 76.4 img/s | lr 3.46e-05
epoch 1: loss 0.3413 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 6.6 min
  e2 [50/1875] loss 0.310 focal 0.216 off 0.0939 | batch median err 2.1px | 72.5 img/s | lr 3.56e-05
  e2 [100/1875] loss 0.327 focal 0.232 off 0.0944 | batch median err 1.9px | 74.5 img/s | lr 3.64e-05
  e2 [150/1875] loss 0.336 focal 0.241 off 0.0954 | batch median err 2.9px | 75.2 img/s | lr 3.71e-05
  e2 [200/1875] loss 0.331 focal 0.235 off 0.0959 | batch median err 1.7px | 75.5 img/s | lr 3.78e-05
  e2 [250/1875] loss 0.335 focal 0.238 off 0.0967 | batch median err 1.2px | 75.7 img/s | lr 3.85e-05
  e2 [300/1875] loss 0.335 focal 0.239 off 0.0957 | batch median err 1.9px | 75.9 img/s | lr 3.92e-05
  e2 [350/1875] loss 0.335 focal 0.238 off 0.0965 | batch median err 1.3px | 75.9 img/s | lr 3.99e-05
  e2 [400/1875] loss 0.333 focal 0.237 off 0.0959 | batch median err 2.7px | 76.0 img/s | lr 4.06e-05
  e2 [450/1875] loss 0.340 focal 0.243 off 0.0968 | batch median err 2.1px | 76.1 img/s | lr 4.13e-05
  e2 [500/1875] loss 0.340 focal 0.243 off 0.0964 | batch median err 1.1px | 76.1 img/s | lr 4.21e-05
  e2 [550/1875] loss 0.341 focal 0.245 off 0.0968 | batch median err 1.9px | 76.2 img/s | lr 4.28e-05
  e2 [600/1875] loss 0.341 focal 0.245 off 0.0965 | batch median err 1.7px | 76.2 img/s | lr 4.35e-05
  e2 [650/1875] loss 0.340 focal 0.244 off 0.0961 | batch median err 1.0px | 76.2 img/s | lr 4.42e-05
  e2 [700/1875] loss 0.339 focal 0.243 off 0.0960 | batch median err 1.5px | 76.2 img/s | lr 4.49e-05
  e2 [750/1875] loss 0.339 focal 0.243 off 0.0958 | batch median err 1.5px | 76.2 img/s | lr 4.56e-05
  e2 [800/1875] loss 0.338 focal 0.243 off 0.0957 | batch median err 2.0px | 76.3 img/s | lr 4.63e-05
  e2 [850/1875] loss 0.336 focal 0.241 off 0.0953 | batch median err 1.6px | 76.3 img/s | lr 4.70e-05
  e2 [900/1875] loss 0.335 focal 0.240 off 0.0953 | batch median err 1.2px | 76.3 img/s | lr 4.77e-05
  e2 [950/1875] loss 0.334 focal 0.239 off 0.0951 | batch median err 1.5px | 76.3 img/s | lr 4.85e-05
  e2 [1000/1875] loss 0.335 focal 0.239 off 0.0953 | batch median err 1.2px | 76.3 img/s | lr 4.92e-05
  e2 [1050/1875] loss 0.335 focal 0.240 off 0.0951 | batch median err 2.7px | 76.3 img/s | lr 4.99e-05
  e2 [1100/1875] loss 0.336 focal 0.240 off 0.0952 | batch median err 2.6px | 76.3 img/s | lr 5.06e-05
  e2 [1150/1875] loss 0.336 focal 0.241 off 0.0951 | batch median err 16.3px | 76.3 img/s | lr 5.12e-05
  e2 [1200/1875] loss 0.337 focal 0.242 off 0.0953 | batch median err 1.7px | 76.3 img/s | lr 5.19e-05
  e2 [1250/1875] loss 0.337 focal 0.241 off 0.0954 | batch median err 1.6px | 76.3 img/s | lr 5.26e-05
  e2 [1300/1875] loss 0.336 focal 0.240 off 0.0955 | batch median err 3.6px | 76.3 img/s | lr 5.33e-05
  e2 [1350/1875] loss 0.336 focal 0.240 off 0.0955 | batch median err 1.1px | 76.4 img/s | lr 5.40e-05
  e2 [1400/1875] loss 0.336 focal 0.241 off 0.0953 | batch median err 2.1px | 76.4 img/s | lr 5.47e-05
  e2 [1450/1875] loss 0.337 focal 0.242 off 0.0957 | batch median err 1.2px | 76.4 img/s | lr 5.53e-05
  e2 [1500/1875] loss 0.337 focal 0.242 off 0.0956 | batch median err 1.5px | 76.4 img/s | lr 5.60e-05
  e2 [1550/1875] loss 0.337 focal 0.241 off 0.0957 | batch median err 1.2px | 76.4 img/s | lr 5.67e-05
  e2 [1600/1875] loss 0.338 focal 0.242 off 0.0959 | batch median err 1.3px | 76.4 img/s | lr 5.73e-05
  e2 [1650/1875] loss 0.338 focal 0.243 off 0.0960 | batch median err 1.2px | 76.4 img/s | lr 5.80e-05
  e2 [1700/1875] loss 0.339 focal 0.243 off 0.0960 | batch median err 1.2px | 76.4 img/s | lr 5.86e-05
  e2 [1750/1875] loss 0.340 focal 0.244 off 0.0961 | batch median err 1.9px | 76.4 img/s | lr 5.92e-05
  e2 [1800/1875] loss 0.340 focal 0.244 off 0.0962 | batch median err 1.6px | 76.4 img/s | lr 5.99e-05
  e2 [1850/1875] loss 0.341 focal 0.244 off 0.0963 | batch median err 2.0px | 76.4 img/s | lr 6.05e-05
