pair_id,cand,err,zncc,zncc_rank,zncc_dog,zncc_grad,zncc_clip
test_B_00000004,0,1.2440679876928016,0.8481875061988831,0.15289273858070374,0.8962793350219727,0.6726440191268921,0.8518286347389221
test_B_00000004,1,367.38279574404675,0.21509048342704773,0.019388465210795403,0.11919723451137543,0.03605182096362114,0.214979350566864
test_B_00000004,2,701.5692463825277,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000005,0,1.5254651247500965,0.7800351977348328,0.11067317426204681,0.8927465081214905,0.6523818969726562,0.7830111980438232
test_B_00000005,1,266.3197173490674,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000000,0,0.6646598066243156,0.8121996521949768,0.2793334424495697,0.9210807681083679,0.7393274307250977,0.8128668665885925
test_B_00000000,1,730.5046318548408,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000000,2,520.2334536854587,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000001,0,1.357106650308499,0.7124244570732117,0.11824864149093628,0.8696614503860474,0.6165285706520081,0.713446855545044
test_B_00000001,1,404.16561608219786,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000001,2,486.3914861568512,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000002,0,0.6812589072573451,0.6160990595817566,0.1223364770412445,0.8459394574165344,0.4664894640445709,0.6270670294761658
test_B_00000002,1,796.1122607702994,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000002,2,615.1482629334441,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000003,0,420.8654888577593,0.3091473877429962,0.06641177088022232,0.5651684403419495,0.11796440929174423,0.3118160367012024
test_B_00000003,1,42.49081941393045,0.35938358306884766,0.05380575731396675,0.5890765190124512,0.10322336852550507,0.3608992397785187
test_B_00000003,2,385.1553669580258,0.0853479653596878,0.016272246837615967,0.18893836438655853,0.04770953580737114,0.08661969006061554
test_B_00000006,0,1.431955149372422,0.3243810832500458,0.094888836145401,0.6052725911140442,0.2359270453453064,0.3283178210258484
test_B_00000006,1,926.8603759065743,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000006,2,592.7050113661978,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000007,0,1.1477195858124014,0.31082212924957275,0.04139997065067291,0.4887511730194092,0.19259636104106903,0.30536526441574097
test_B_00000007,1,831.749609775975,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000007,2,980.3739060406623,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000008,0,1.2660032046255816,0.8603885769844055,0.31491169333457947,0.8761045336723328,0.6527679562568665,0.8609609603881836
test_B_00000008,1,197.22445718790334,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000009,0,2.8826466272875244,0.6712090373039246,0.0912829264998436,0.828742504119873,0.517523467540741,0.6746647953987122
test_B_00000009,1,813.6770749100124,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000009,2,843.4647775694403,0.2484627664089203,0.050863318145275116,0.2964465916156769,0.26250332593917847,0.24749663472175598
test_B_00000012,0,1.4388301214917858,0.6008634567260742,0.4500289261341095,0.8218371868133545,0.4370895326137543,0.6108608245849609
test_B_00000012,1,167.31360245448315,0.12060172855854034,0.045042768120765686,0.11540097743272781,0.18378476798534393,0.12298201024532318
test_B_00000012,2,357.942169934596,0.087520070374012,0.025456024333834648,0.0565609484910965,0.1898908168077469,0.09062626957893372
test_B_00000013,0,1.3909814768796256,0.4891548156738281,0.15077932178974152,0.6700708866119385,0.5864397287368774,0.4965881407260895
test_B_00000013,1,751.2617431406218,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000010,0,2.629620240503487,0.5037088394165039,0.17033134400844574,0.7131126523017883,0.38435304164886475,0.502270519733429
test_B_00000010,1,1040.3839145694444,0.10508018732070923,0.023600585758686066,0.08982691168785095,0.2155793458223343,0.1055394783616066
test_B_00000010,2,208.56775591324956,0.0790882483124733,0.02491188235580921,0.03683359548449516,0.2044033259153366,0.08064613491296768
test_B_00000011,0,416.4592616421083,0.5327958464622498,0.09267188608646393,0.7466257214546204,0.25909990072250366,0.5342485904693604
test_B_00000011,1,72.44206659107238,0.45673543214797974,0.11398778110742569,0.7092288136482239,0.24572962522506714,0.45843273401260376
test_B_00000011,2,72.38505970128125,0.456484317779541,0.11454787850379944,0.7086254954338074,0.24547886848449707,0.4581751525402069
test_B_00000014,0,0.2677375015439227,0.7101929783821106,0.12940970063209534,0.8756645321846008,0.5757110118865967,0.7122806906700134
test_B_00000014,1,300.38175528657206,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000014,2,307.3719735692828,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000015,0,0.20532989850593109,0.3195585608482361,0.0991300716996193,0.5459024906158447,0.1525791883468628,0.32350021600723267
test_B_00000015,1,468.17109327496223,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000015,2,467.5355819647113,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000016,0,1.4613091094850368,0.869059145450592,0.25954556465148926,0.9207857251167297,0.6474628448486328,0.870376706123352
