device: cuda   amp: bf16
train pairs: 84500 from 169 split(s)   crop: 512
val scenes: 200
sampling 20000 of 84500 pairs per epoch (7.1 passes over the pool)
parameters: 0.46M
fine-tuning from weights/driftsense_p6.pt: weights only (fresh optimizer, fresh one-cycle at max_lr 0.0001, epoch counter from 0)
resumed from weights/driftsense_p6.pt (epoch 0, best 0.299px)
  e1 [1200/1250] loss 0.417 focal 0.308 off 0.1087 | batch median err 1.3px | 76.3 img/s | lr 4.24e-05
  e1 [1250/1250] loss 0.418 focal 0.309 off 0.1090 | batch median err 1.4px | 76.4 img/s | lr 4.37e-05
epoch 1: loss 0.4178 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 4.5 min
  e2 [50/1250] loss 0.397 focal 0.287 off 0.1097 | batch median err 3.0px | 72.0 img/s | lr 4.50e-05
  e2 [100/1250] loss 0.414 focal 0.305 off 0.1091 | batch median err 1.9px | 74.2 img/s | lr 4.63e-05
  e2 [150/1250] loss 0.418 focal 0.309 off 0.1092 | batch median err 3.0px | 74.9 img/s | lr 4.77e-05
  e2 [200/1250] loss 0.410 focal 0.301 off 0.1096 | batch median err 1.8px | 75.3 img/s | lr 4.90e-05
  e2 [250/1250] loss 0.413 focal 0.303 off 0.1100 | batch median err 1.1px | 75.5 img/s | lr 5.03e-05
  e2 [300/1250] loss 0.412 focal 0.303 off 0.1092 | batch median err 1.9px | 75.7 img/s | lr 5.17e-05
  e2 [350/1250] loss 0.411 focal 0.301 off 0.1101 | batch median err 1.5px | 75.8 img/s | lr 5.30e-05
  e2 [400/1250] loss 0.409 focal 0.300 off 0.1090 | batch median err 2.7px | 75.9 img/s | lr 5.44e-05
  e2 [450/1250] loss 0.417 focal 0.307 off 0.1098 | batch median err 2.6px | 76.0 img/s | lr 5.57e-05
  e2 [500/1250] loss 0.416 focal 0.307 off 0.1091 | batch median err 1.2px | 76.0 img/s | lr 5.70e-05
  e2 [550/1250] loss 0.417 focal 0.307 off 0.1098 | batch median err 1.8px | 76.1 img/s | lr 5.84e-05
  e2 [600/1250] loss 0.417 focal 0.307 off 0.1096 | batch median err 1.6px | 76.1 img/s | lr 5.97e-05
  e2 [650/1250] loss 0.415 focal 0.306 off 0.1089 | batch median err 1.2px | 76.1 img/s | lr 6.10e-05
  e2 [700/1250] loss 0.413 focal 0.304 off 0.1089 | batch median err 1.1px | 76.1 img/s | lr 6.23e-05
  e2 [750/1250] loss 0.414 focal 0.305 off 0.1086 | batch median err 1.6px | 76.2 img/s | lr 6.36e-05
  e2 [800/1250] loss 0.413 focal 0.305 off 0.1084 | batch median err 2.0px | 76.2 img/s | lr 6.49e-05
  e2 [850/1250] loss 0.411 focal 0.303 off 0.1076 | batch median err 1.6px | 76.2 img/s | lr 6.62e-05
  e2 [900/1250] loss 0.409 focal 0.302 off 0.1076 | batch median err 1.3px | 76.2 img/s | lr 6.75e-05
  e2 [950/1250] loss 0.409 focal 0.301 off 0.1072 | batch median err 1.4px | 76.2 img/s | lr 6.87e-05
  e2 [1000/1250] loss 0.408 focal 0.301 off 0.1072 | batch median err 1.1px | 76.2 img/s | lr 7.00e-05
  e2 [1050/1250] loss 0.409 focal 0.302 off 0.1070 | batch median err 2.8px | 76.2 img/s | lr 7.12e-05
  e2 [1100/1250] loss 0.410 focal 0.303 off 0.1071 | batch median err 44.7px | 76.2 img/s | lr 7.25e-05
  e2 [1150/1250] loss 0.410 focal 0.303 off 0.1070 | batch median err 92.1px | 76.3 img/s | lr 7.37e-05
  e2 [1200/1250] loss 0.412 focal 0.304 off 0.1073 | batch median err 2.2px | 76.3 img/s | lr 7.48e-05
  e2 [1250/1250] loss 0.411 focal 0.304 off 0.1074 | batch median err 1.6px | 76.3 img/s | lr 7.60e-05
epoch 2: loss 0.4111 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 4.5 min
  e3 [50/1250] loss 0.394 focal 0.293 off 0.1001 | batch median err 1.6px | 72.0 img/s | lr 7.72e-05
  e3 [100/1250] loss 0.402 focal 0.295 off 0.1075 | batch median err 1.8px | 74.2 img/s | lr 7.83e-05
  e3 [150/1250] loss 0.400 focal 0.293 off 0.1074 | batch median err 1.7px | 74.9 img/s | lr 7.94e-05
  e3 [200/1250] loss 0.415 focal 0.305 off 0.1101 | batch median err 1.3px | 75.3 img/s | lr 8.05e-05
